"Fast Link for toolbox to hear voiceline ",,,"https://aceship.github.io/AN-EN-Tags/akhrchars.html",,"Please update the Translate Progress after finished editting",,
"char_103_angel","Exusiai","晋升后交谈1","Elite Promotion Conversation 1","第一个愿望！请送我八把铳当礼物！我们天使都有自己的守护铳，但只有一把可不够看！","Wish number 1! Please gift me 8 guns! We angels have our PDWs, but just one is kinda depressing!","お願いその一！銃を８挺ほどプレゼントをよろしく！あたしたち天子はみんな自分の守護銃を持ってるけど一挺だけじゃしょぼいんだよね。",
"char_103_angel","Exusiai","晋升后交谈2","Elite Promotion Conversation 2","第二个愿望......找个人把我头上这盏日光灯管关掉！","Wish number 2! Can someone get rid of the light on top of my head!","お願いその２！だれかこの頭の上蛍光灯を消して！",
"char_103_angel","Exusiai","信赖提升后交谈1","High Trust Conversation 1","德克萨斯那家伙能活得这么潇洒，可多亏有我罩着她，这不是明摆着的事嘛~","That Texas, being able to live such a carefree life, it's thanks to me, you know? That goes without saying though.","テキサスのやつがあんなに生き生きとしているのはあたしのおかげだよ。こんな事を言うまでもないでしょう。",
"char_103_angel","Exusiai","信赖提升后交谈2","High Trust Conversation 2","如果您见到一名长着漆黑的角，散发着不祥气息的天使，请一定替我转告她：我从来没有忘记过她。","if you see an angel with black horn(s) and an omninous aura... I'd like you to tell her them that Exusiai hasn't forgotten them.","もし、黒い角が生えてて、全身からやばそうなオーラが出てる天子に会ったら、「エクシアは君のことを忘れてないよ」って伝えといて欲しいな。",
"char_103_angel","Exusiai","信赖提升后交谈3","High Trust Conversation 3","老板，咱们企鹅物流还是挺不错的吧？要不要来当当我们的老大？欸嘿嘿~开玩笑的~","Leader, Penguin Logistics's not bad right? Do you wanna try being our boss? Hehe, I'm kidding!","リーダー、ペンギン急便も悪くないでしょう？うちのボス何とかやってみちゃう？うっふふ、冗談だよ。",
"char_103_angel","Exusiai","闲置","Idle","......主啊，这个人也是我们要拯救的吗？","...God, does this person also need salvation?","主よ、この人にも救済が必要なのでしょうか。",
"char_103_angel","Exusiai","干员报到","Operator Reporting In","口令是“企鹅帝国万岁”，你就是雇主吗？叫我能天使。我和那个冷淡的鲁珀人可不一样，你要是想找点有趣的事做，随时都可以来叫我！","The password is ""Long live the Penguin Empire!"" You're the employer this time? You can call me Exusiai. I'm different from that unsocial wolf, so call upon me anytime you have something interesting for me to do!","合言葉は「ペンギン帝国万歳」。あんたが今回の雇い主？あたしのことはエクシアって呼んでね。あの不愛想の狼とは違って、声をかけてくれば、いつでも遊んであげるよ。",
"char_103_angel","Exusiai","观看作战记录","Watching Combat Tape","我喜欢这种感觉！","I like it like this!","こういう感じ好きかも！",
"char_103_angel","Exusiai","精英化晋升1","Elite 1","老板，多谢提拔~","Thanks for the promotion~","ご贔屓にしてくれて、ありがとう～",
"char_103_angel","Exusiai","精英化晋升2","Elite 2","老板......不，义人，以手中的这把铳起誓，我将守护您的生命直至万物终结之日。","...Leader...no, righteous one, I swear that with this gun, I will protect you until the Last Judgement.","リーダー…いや、義人よ。この銃に誓って、あなたを最後の審判までお守りします",
"char_103_angel","Exusiai","编入队伍","Assign to Team","小组作战，我熟得很～","I'm familiar with group operations, so leave it to me!","チームでの戦い、慣れてるから任せて～",
"char_103_angel","Exusiai","任命队长","Assign to Team Leader","没有比我更适合当队长的人！您真是别具慧眼！","Hey, you really have an eye for choosing leaders! There's arent many who're more suited for captain than me!","君、瞳にあるね！あたしより隊長に相応しいはいないって！",
"char_103_angel","Exusiai","行动出发","Operation Sortie","出发！让我们像风暴一样碾过去！","Let's go, like a storm!","行くよー！嵐のよう蹂躙してやる！",
"char_103_angel","Exusiai","行动开始","Operation Start","我帮你们预定了地狱黄金地段的房产，请放心！","For your sakes, I've got the best rooms in hell for you, so don't worry and come in!","君たちのために、地獄の一等地に部屋を用意して置いたから、安心していってらっしゃい！",
"char_103_angel","Exusiai","选中干员1","Selected Operator 1","好！","Alright~!","yooshi",
"char_103_angel","Exusiai","选中干员2","Selected Operator 2","轮到我出场了吗？","Is it my turn?","あたしの出番？",
"char_103_angel","Exusiai","部署1","Deploy 1","跟我来！","Come with me!","ついて来て！",
"char_103_angel","Exusiai","部署2","Deploy 2","让我来制造点混乱。","Let's make a bit of a mess~","ちょっと揶揄ってあげようと～",
"char_103_angel","Exusiai","作战中1","In Combat 1","天意！","Deo volente!","ディオボレンテ！",
"char_103_angel","Exusiai","作战中2","In Combat 2","摇滚！","Rock and Roll!","Rock ‘n’ roll!",
"char_103_angel","Exusiai","作战中3","In Combat 3","弹幕！","Barrage!","Barrage!",
"char_103_angel","Exusiai","作战中4","In Combat 4","苹果派！","Apple Pie!","アップルパイ！",
"char_103_angel","Exusiai","4星结束行动","Complete Operation with 4 stars","好！就照这个劲头向前冲！","Alright! let's continue like this!","よし！このまま突き進もう！",
"char_103_angel","Exusiai","3星结束行动","Complete Operation with 3 stars","愿我的弹雨能熄灭你们的苦痛。","With this rain of bullets, I will extinguish your suffering.","銃弾の雨であなたたちを苦痛から救済しよう。",
"char_103_angel","Exusiai","非3星结束行动","Complete Operation with 2 stars","胜利的讯息即是甜蜜的福音。好~回去喝一杯吧！","News of victory is such a sweet gospel. ...Alright~ let's go back and drink!","勝利の知らせは甘美なる福音。。。よーし、帰って飲もう！",
"char_103_angel","Exusiai","行动失败","Failed Operation","铳有卡壳的时候，人生也是如此，别介意别介意~","Well, even guns get jammed sometimes, life is the same as that. So don't worry about it!","まあ、銃だって詰まる時はあるし、人生も同じだよ。気にしない、気にしない～",
"char_103_angel","Exusiai","进驻设施","Assign to Station","我喜欢这个地方！","I like this room!","ここ、気に入った！",
"char_103_angel","Exusiai","戳一下","Poke","哟！","Oof!","よっ！",
"char_103_angel","Exusiai","信赖触摸","Poke with Trust Bubble","老板！来试试我的武器吗？","Leader! Wanna try out my weapon?","リーダー、あたしの武器、試してみる？",
"char_103_angel","Exusiai","标题","Title Screen","明日方舟。","Arknights.","アークナイツ。",
"char_103_angel","Exusiai","问候","Greeting","哟，老板！","Hey, Leader!","ヤッホー、リーダー。",
"char_106_franka","Franka","任命助理","Assign Secretary","现在是换班时间，博士，不必在意我，请继续工作吧。","Just here to change shifts, Doctor, so please don't mind me and keep working.","交代の時間だけど、そのまま仕事してて、ドクター。あたしのことは気にしなくていいから。",
"char_106_franka","Franka","交谈1","Conversation 1","在BSW我被任命为生化防护响应专员——通称“BPRS”。是的，就是大家都熟悉的那种形象，穿着像桶一样的全套防化服......","In BSW, I was a specialist in the Biochemical Protection Response Staff, abbreviated as ""B.P.R.S."" Yes, like the image everyone is used to, with hazmat suits that looked like a barrel...","BSWでは生態防護処置班員(せいたいぼうごしょちはんいん)、通称、「BPRS」というポジションを任されてたの。そう、みんなにもお馴染みの、バケツみたいな防護服を着てね。",
